BeverageId,Served,TASTE,BEER_NAME,BREWERY_NAME,STYLE,ABV,LOCATION_CITY,STATE_COUNTRY,PRICE_GLASS,PRICE_GROWLER,PRICE_CAN,PRICE_BOTTLE
1,On Tap,Light & Crisp,Big Wave, Kona Brewing,American Blonde Ale,4.40%,Honolulu, HI,7.5,29,,
2,On Tap,Light & Crisp,Blue Moon, Molson-Coors,Belgian Witbier,5.40%,Golden, CO,6.5,21,,
3,On Tap,Light & Crisp,Bud Light, Anheuser-Busch,American Light Lager,4.20%,St. Louis, MO,5.5,21,,
4,On Tap,Light & Crisp,Buenoveza, Stone Brewing,American Lager,4.70%,Escondido, CA,7.5,30,,
5,On Tap,Light & Crisp,Coors Light, Molson-Coors,Light Lager,4.20%,Golden, CO,5.5,21,,
6,On Tap,Light & Crisp,Duvel Single, Brouwerij Duvel Moortgat,Belgian Strong Ale,8.50%,Breendonk, Belgium,9,37,,
7,On Tap,Light & Crisp,German Shepheweizen, Wasserhund,German Hefeweizen,5.90%,Virginia Beach, VA,7.5,29,,
8,On Tap,Light & Crisp,Hardywood Pils, Hardywood,German Pilsner,5.20%,Richmond, VA,7,28,,
9,On Tap,Light & Crisp,Hefeweizen, Paulaner Brewery,Hefeweizen,5.30%,Munich, Germany,7.5,30,,
10,On Tap,Light & Crisp,Liquid Escape, VA Beer Co.,Tart Ale,4.40%,Williamsburg, VA,8,32,,
11,On Tap,Light & Crisp,Mango Cart, Golden Road,Fruit & Field Beer,4.00%,Los Angeles, CA,6.5,25,,
12,On Tap,Light & Crisp,Miller Lite, MillerCoors,American Light Lager,4.20%,Milwaukee, WI,5.5,21,,
13,On Tap,Light & Crisp,Modelo Especial, Grupo Modelo,American Adjunct Lager,4.40%,Mexico City, Mexico,6,24,,
14,On Tap,Light & Crisp,Proper Lager, O’Connor,American Lager,4.70%,Norfolk, VA,7.5,30,,
15,On Tap,Light & Crisp,Sam Summer, Sam Adams,Hefeweizen,5.40%,Boston, MA,7,28,,
16,On Tap,Light & Crisp,Saving Daylight, VA Beer Co.,Wheat Beer,4.90%,Williamsburg, VA,7,28,,
17,On Tap,Light & Crisp,Sommer Fling, Smartmouth,American Adjunct Lager,5.60%,Norfolk, VA,7.5,29,,
