ABV	BeverageId
0.04	1
0.05	2
0.04	3
0.05	4
0.04	5
0.09	6
0.06	7
0.05	8
0.05	9
0.04	10
0.04	11
0.04	12
0.04	13
0.05	14
0.05	15
0.05	16
0.06	17
0.05	18
0.05	19
0.05	20
0.06	21
0.09	22
0.04	23
0.05	24
0.07	25
0.10	26
0.05	27
0.06	28
0.05	29
0.06	30
0.10	31
0.05	32
0.08	33
0.09	34
0.07	35
0.06	36
0.05	37
0.09	38
0.08	39
0.08	40
0.07	41
0.07	42
0.06	43
0.07	44
0.09	45
0.06	46
0.06	47
0.07	48
0.07	49
0.07	50
0.07	51
0.06	52
0.07	53
0.07	54
0.10	55
0.06	56
0.06	57
0.04	58
0.06	59
0.05	60
0.06	61
0.05	62
0.06	63
0.06	64
0.05	65
0.05	66
0.08	67
0.05	68
0.06	69
0.06	70
0.05	71
0.07	72
0.06	73
0.05	74
0.05	75
0.06	76
0.04	77
0.05	78
0.05	79
0.05	80
0.05	81
0.06	82
0.04	83
0.07	84
0.06	85
0.05	86
0.08	87
0.05	88
0.05	89
0.08	90
0.05	91
0.08	92
0.04	93
0.01	94
0.06	95
0.04	96
0.06	97
